C:\Users\Groot\AppData\Local\Programs\Python\Python39\python.exe C:/Users/Groot/IdeaProjects/Python/Python--OracleDB/Fetch-All-Records-from-table/Fetch-All-Records-from-table.py
[(7, 'SYS', 'UTL_RECOMP', 'PACKAGE', 0),
 (145, 'SYS', 'SYS_STUB_FOR_PURITY_ANALYSIS', 'PACKAGE', 0),
 (145, 'SYS', 'PRVT_WORKLOAD', 'PACKAGE', 0),
 (145, 'SYS', 'PRVT_SMGUTIL', 'PACKAGE', 0),
 (391, 'SYS', 'PRVT_HDM', 'PACKAGE', 0),
 (399, 'SYS', 'DBMS_ASSERT', 'PACKAGE', 0),
 (7, 'SYS', 'UTL_IDENT', 'PACKAGE', 0),
 (7, 'SYS', 'UTL_FILE', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_UTILITY', 'PACKAGE', 0),
 (145, 'SYS', 'PRVT_SQLSET_INFRA', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_MANAGEMENT_PACKS', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_DATAPUMP', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_LOB', 'PACKAGE', 0),
 (7, 'SYS', 'ODCICONST', 'PACKAGE', 0),
 (145, 'SYS', 'PLITBLM', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SQLTUNE_UTIL1', 'PACKAGE', 0),
 (399, 'SYS', 'DBMS_STANDARD', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SYS_ERROR', 'PACKAGE', 0),
 (145, 'SYS', 'PRVT_ADVISOR', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_ASSERT', 'PACKAGE', 0),
 (145, 'XDB', 'XDB_PITRIG_PKG', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SQLTUNE_UTIL0', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_STATS', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_REPORT', 'PACKAGE', 0),
 (391, 'SYS', 'STANDARD', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_REPORT', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_ADVISOR', 'PACKAGE', 0),
 (399, 'SYS', 'STANDARD', 'PACKAGE', 0),
 (399, 'SYS', 'DBMS_SYSTEM', 'PACKAGE', 0),
 (7, 'SYS', 'UTL_RAW', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_SQL', 'PACKAGE', 0),
 (145, 'SYS', 'UTL_IDENT', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SYSTEM', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_SYSTEM', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_SWRF_INTERNAL', 'PACKAGE', 0),
 (391, 'SYS', 'PRVT_ADVISOR', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_HA_ALERTS_PRVT', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_OUTPUT', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_ASSERT', 'PACKAGE', 0),
 (145, 'SYS', 'PRVT_HDM', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_UTILITY', 'PACKAGE', 0),
 (145, 'SYS', 'PRVT_ACCESS_ADVISOR', 'PACKAGE', 0),
 (145, 'XDB', 'DBMS_XDBZ', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_DATAPUMP', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SCHEDULER', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_OUTPUT', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_SCHEDULER', 'PACKAGE', 0),
 (7, 'SYS', 'KUPCC', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_ADVISOR', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SQLTUNE_INTERNAL', 'PACKAGE', 0),
 (145, 'SYS', 'STANDARD', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SQL', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_LOCK', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_ADDM', 'PACKAGE', 0),
 (145, 'SYS', 'UTL_FILE', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_LOB', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_ADDM', 'PACKAGE', 0),
 (391, 'SYS', 'PLITBLM', 'PACKAGE', 0),
 (391, 'SYS', 'UTL_FILE', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_SQLTUNE_INTERNAL', 'PACKAGE', 0),
 (7, 'SYS', 'STANDARD', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_STANDARD', 'PACKAGE', 0),
 (7, 'SYS', 'PLITBLM', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_SCHEDULER', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_DDL', 'PACKAGE', 0),
 (7, 'SYS', 'DBMS_SYSTEM', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SYS_SQL', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_STANDARD', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_OUTPUT', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SMB_INTERNAL', 'PACKAGE', 0),
 (145, 'SYS', 'DBMS_SWRF_INTERNAL', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_LOCK', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_ASSERT', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_STANDARD', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_STATS', 'PACKAGE', 0),
 (391, 'SYS', 'PRVT_SMGUTIL', 'PACKAGE', 0),
 (391, 'SYS', 'DBMS_SQL', 'PACKAGE', 0)]

Process finished with exit code 0
