Series_reference,Period,Data_value,STATUS
BDCQ.SEA1AA,2011.06,80078,F
BDCQ.SEA1AA,2020.09,92891,F
BDCQ.SEA1BA,2011.06,5234,F
BDCQ.SEA1CA,2011.06,206633,F
BDCQ.SEA1CA,2011.09,200677,F
BDCQ.SEA1CA,2011.12,204217,F
BDCQ.SEA1DA,2013.09,15773,F
BDCQ.SEA1EA,2013.12,115478,F
BDCQ.SEA1FA,2013.03,90916,F
BDCQ.SEA1HA,2020.06,140969,F
BDCQ.SEA1HA,2020.09,137395,F
BDCQ.SEA1IA,2011.06,75245,F
BDCQ.SEA1IA,2011.09,75920,F
BDCQ.SEA1JA,2011.06,35085,
BDCQ.SEA1KA,2011.06,54474,
BDCQ.SEA1KA,2011.09,55328,
,2011.12,55558,F
BDCQ.SEA1LA,2011.06,23716,F
BDCQ.SEA1LA,2011.09,23551,F
BDCQ.SEA1LA,2011.12,24172,F
BDCQ.SEA1MA,2011.06,113336,F
,2011.06,82446,F
BDCQ.SEA1OA,2011.06,103160,F
BDCQ.SEA1PA,,177012,F
BDCQ.SEA1PA,,178828,F
BDCQ.SEA1QA,2011.06,195982,F
BDCQ.SEA1RA,2011.06,35520,F
BDCQ.SEA1SA,2011.06,56432,F
BDCQ.SEA1SA,2011.09,56668,F
BDCQ.SEA1ZA,2018.06,2046513,F
BDCQ.SEA2AA,2013.06,,F
BDCQ.SEA2AA,2013.09,,F
BDCQ.SEA2BA,2011.06,119.975999,F
BDCQ.SEA2BA,2020.03,139.11612,F
BDCQ.SEA2CA,2011.12,2929.301966,F
BDCQ.SEA2CA,2012.03,2794.8961,F
BDCQ.SEA2CA,2012.06,2882.611206,F
